Hospital Name,Hospital Email,Hospital Phone,Hospital Address,Establishment Year,Facility (Type),City,Rating (Mortality),Department Count,Doctor Count,Patient Name,Patient Phone,Patient Address,Patient Birthdate
Southeast Alabama Medical Center,andy_halvorson@raynor-bernier.example,2295512535114,40511 Leannon Canyon Boyer Fort Street,1978,Government,Dothan,Below,0,0
Marshall Medical Center South,mario@hudson.example,644190433265,718 Schoen Freeway Kirk Brooks Street,1835,Government,Boaz,Below,0,0
Eliza Coffee Memorial Hospital,milford@pagac.test,26716549766074,51097 Hermiston Coves Clarita Vista Street,1802,Government,Florence,Below,0,0
Mizell Memorial Hospital,emery_hauck@schroeder-borer.test,463306206423,129 Edwardo Prairie Dudley Pass Street,1986,Private,Opp,Same,0,0
Crenshaw Community Hospital,delbert@kuhn.test,2479284033030,4887 Levi Path Floria Forge Street,1879,Proprietary,Luverne,Same,0,0
St Vincent's East,joey@olson.test,8508361936944,7859 Carlota Wells George Bypass Street,1974,Private,Birmingham,Same,0,0
Dekalb Regional Medical Center,tillie@harber-larson.test,69212165150269,7463 Arie Prairie Merrill Extensions Street,1874,Proprietary,Fort Payne,Below,0,0
Shelby Baptist Medical Center,keli_marvin@pouros-smith.example,394918555329,63883 Chong Port O'Conner Gateway Street,1884,Private,Alabaster,Same,0,0
Callahan Eye Hospital,fidel@leuschke.test,96312001954324,88125 Bode Ramp Ruthanne Gateway Street,1792,Private,Birmingham,None,0,0
Helen Keller Memorial Hospital,elmer.mraz@kovacek-strosin.test,575404591210,8591 Rhett Court Elwood Estates Street,1896,Government,Sheffield,Same,0,0
Dale Medical Center,ardell.senger@howe-swaniawski.test,5617516693342,8625 Gerlach Ways Schroeder Green Street,1917,Government,Ozark,Same,0,0
Floyd Cherokee Medical Center,shalanda_altenwerth@douglas-hoppe.test,3874201664446,64688 Corwin Forge Glenn Wells Street,1805,Private,Centre,Same,0,0
Baptist Medical Center South,vernon.corkery@gerlach.test,2916084429610,65815 Ramon Motorway Streich Forge Street,1838,Government,Montgomery,Below,0,0
